short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
My experience: How to travel with $50/day,23/12/2025,12:06,Tuesday,Budget Travel,voiceover,voiceover,Story,0,30.15,77136,3294,560,480,181,0.058533,Medium,7,12.34%,4.33,budgettravel,traveltips,creatorsearchinsight,4
How to: Hidden gems you should not miss,02/11/2025,17:58,Sunday,Destination Guides,screen_recording,screen_recording,Tutorial,1,11.17,44922,1591,271,107,332,0.051222,Medium,4,20.01%,3.28,hiddengems,travelguide,hiddengems,3
Save up to 40% on fees - Visa interview questions to prepare for,05/01/2026,09:10,Monday,Visa Application Tips,voiceover,voiceover,Statistic,0,18.93,46368,2007,462,377,27,0.061961,High,1,26.97%,5.09,visa,immigration,travel,3
Visa interview questions to prepare for?,22/12/2025,15:10,Monday,Visa Application Tips,text_overlay,text_overlay,Question,0,26.44,108325,4550,1015,764,1066,0.068267,High,10,30.31%,7.19,visatips,immigration,relocation,5
How to: How to travel with $50/day,17/12/2025,07:58,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,1,41.24,143917,7085,1697,1090,284,0.070568,High,6,38.87%,17.43,budgettravel,cheaptravel,relocation,5
My experience: Save money on baggage fees,03/12/2025,14:00,Wednesday,Travel Hacks,voiceover,voiceover,Story,1,36.69,243252,9756,2169,2009,131,0.057821,Medium,19,23.92%,9.68,budgettravel,cheapflights,budgettravel,4
How to: Visa interview questions to prepare for,24/11/2025,07:37,Monday,Visa Application Tips,screen_recording,screen_recording,Tutorial,0,37.77,92861,4489,1113,918,138,0.071699,High,6,27.33%,9.71,immigration,visaguide,creatorsearchinsight,3
My experience: 3 documents you must not forget,15/11/2025,09:00,Saturday,Visa Application Tips,voiceover,voiceover,Story,0,56.97,171218,5703,1733,575,1528,0.055713,Medium,9,14.66%,9.03,visatips,immigration,workvisa,5
Approval rate tips - Hidden gems you should not miss,23/11/2025,11:06,Sunday,Destination Guides,text_overlay,text_overlay,Statistic,1,81.79,63994,2245,687,347,31,0.051724,Medium,4,9.91%,7.33,travelguide,thingstodo,creatorsearchinsight,4
What to do in one day?,24/12/2025,17:53,Wednesday,Destination Guides,text_overlay,text_overlay,Question,0,49.73,56200,2075,376,347,28,0.050285,Medium,4,16.09%,9.17,travelguide,hiddengems,relocation,5
My experience: Hotel booking trick,08/01/2026,21:18,Thursday,Travel Hacks,voiceover,voiceover,Story,0,41.79,183418,7647,2153,815,462,0.060392,High,18,27.33%,10.77,travelhacks,traveltips,travel,3
My experience: 3 documents you must not forget,16/11/2025,17:06,Sunday,Visa Application Tips,voiceover,voiceover,Story,0,19.29,81583,3618,564,317,894,0.066104,High,7,12.66%,1.35,visaguide,visatips,workvisa,4
How to: Low-cost itinerary tips,25/01/2026,16:53,Sunday,Budget Travel,text_overlay,text_overlay,Tutorial,0,7.37,107516,4879,976,604,265,0.06254,High,6,14.43%,1.02,cheaptravel,traveltips,cheaptravel,5
How to: Common visa rejection reasons,24/01/2026,11:13,Saturday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,66.23,25994,1184,346,117,16,0.063976,High,2,20.09%,13.39,visaguide,visatips,studyabroad,5
How to: Hidden gems you should not miss,29/01/2026,17:10,Thursday,Destination Guides,text_overlay,text_overlay,Tutorial,1,31.79,86052,3659,1425,554,62,0.066239,High,4,14.33%,5.37,visit,travelguide,visit,4
Approval rate tips - How to find cheaper flights,23/11/2025,22:37,Sunday,Travel Hacks,voiceover,voiceover,Statistic,0,41.41,49222,2168,379,372,65,0.060623,High,4,24.42%,9.01,budgettravel,traveltips,travel,4
My experience: 3 documents you must not forget,25/12/2025,11:48,Thursday,Visa Application Tips,voiceover,voiceover,Story,0,41.32,48990,2025,385,290,156,0.058298,Medium,1,25.26%,10.71,visa,immigration,travel,3
My experience: Step-by-step visa process explained,09/12/2025,10:00,Tuesday,Visa Application Tips,text_overlay,text_overlay,Story,1,27.69,108804,4368,918,759,56,0.056073,Medium,9,23.77%,6.71,immigration,visatips,creatorsearchinsight,3
How to: Low-cost itinerary tips,08/01/2026,07:13,Thursday,Budget Travel,text_overlay,text_overlay,Tutorial,1,19.16,89543,3832,708,425,529,0.061356,High,5,19.29%,2.96,travelsavings,traveltips,creatorsearchinsight,3
How to: Packing hack that saves space,29/11/2025,16:58,Saturday,Travel Hacks,text_overlay,text_overlay,Tutorial,0,79.49,26152,965,193,128,221,0.057625,Medium,2,24.89%,18.93,traveltips,packinghacks,creatorsearchinsight,5
My experience: Low-cost itinerary tips,10/01/2026,11:10,Saturday,Budget Travel,voiceover,voiceover,Story,0,29.32,51989,1653,314,344,253,0.049318,Medium,3,10.48%,3.32,cheaptravel,budgettravel,visa,5
How to: 3 documents you must not forget,10/11/2025,10:53,Monday,Visa Application Tips,text_overlay,text_overlay,Tutorial,1,43.64,230014,12037,2430,1086,2227,0.0773,High,26,27.79%,13.31,immigration,visa,immigration,3
How to: 3 documents you must not forget,15/11/2025,16:48,Saturday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,76.76,26296,1101,231,219,48,0.060808,High,2,28.74%,22.14,visatips,visa,travel,5
Travel hack for long layovers?,16/12/2025,15:58,Tuesday,Travel Hacks,voiceover,voiceover,Question,1,44.99,404167,19840,3047,3183,248,0.065117,High,25,28.45%,11.37,budgettravel,packinghacks,workvisa,5
How to: Visa application checklist,30/11/2025,07:48,Sunday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,16.57,65390,3326,651,449,189,0.070577,High,2,12.06%,1.08,immigration,visatips,creatorsearchinsight,3
Stop scrolling - Hidden gems you should not miss,06/01/2026,19:48,Tuesday,Destination Guides,text_overlay,text_overlay,Dramatic,0,59.11,87846,2455,325,413,577,0.042916,Medium,4,20.69%,12.3,destination,hiddengems,travel,4
Cost breakdown you need - Food spots you must try,31/01/2026,21:37,Saturday,Destination Guides,voiceover,voiceover,Statistic,1,37.01,116439,4559,719,778,61,0.052534,Medium,8,14.74%,4.69,hiddengems,thingstodo,hiddengems,3
Top places to visit in 48 hours?,13/12/2025,20:48,Saturday,Destination Guides,text_overlay,text_overlay,Question,0,28.0,30256,1113,165,229,18,0.050403,Medium,1,13.78%,3.38,thingstodo,hiddengems,workvisa,4
Don’t do this - Visa interview questions to prepare for,14/01/2026,10:37,Wednesday,Visa Application Tips,screen_recording,screen_recording,Dramatic,0,42.8,110056,4427,1100,692,63,0.05708,Medium,5,12.34%,6.06,immigration,visaguide,workvisa,4
How to: Food spots you must try,16/01/2026,19:41,Friday,Destination Guides,text_overlay,text_overlay,Tutorial,0,56.92,94815,3642,760,348,441,0.054749,Medium,3,18.48%,10.5,hiddengems,thingstodo,workvisa,3
How to: Common visa rejection reasons,26/01/2026,14:00,Monday,Visa Application Tips,screen_recording,screen_recording,Tutorial,0,18.97,190596,8858,2194,1360,172,0.066024,High,11,14.97%,3.62,visa,visatips,studyabroad,3
Save up to 40% on fees - How much it costs to travel here,20/01/2026,21:48,Tuesday,Budget Travel,voiceover,voiceover,Statistic,0,15.98,44680,2023,372,272,65,0.061146,High,4,23.21%,5.05,cheaptravel,budgettravel,visa,5
What to do in one day?,06/12/2025,17:06,Saturday,Destination Guides,text_overlay,text_overlay,Question,1,15.36,148721,5047,1339,1142,1377,0.059877,Medium,12,14.55%,2.35,travelguide,hiddengems,relocation,3
Packing hack that saves space?,03/12/2025,21:58,Wednesday,Travel Hacks,voiceover,voiceover,Question,1,21.99,24945,941,273,148,100,0.058609,Medium,1,7.90%,1.53,travelhacks,cheapflights,visa,5
Step-by-step visa process explained?,23/01/2026,19:53,Friday,Visa Application Tips,voiceover,voiceover,Question,1,21.86,71205,3437,569,703,45,0.066765,High,5,34.17%,7.56,immigration,visatips,creatorsearchinsight,5
Cost breakdown you need - Affordable destinations for 2026,17/01/2026,09:30,Saturday,Budget Travel,voiceover,voiceover,Statistic,1,45.26,12453,460,122,70,6,0.052839,Medium,1,18.05%,8.64,traveltips,cheaptravel,traveltips,5
How to: Top places to visit in 48 hours,12/01/2026,08:58,Monday,Destination Guides,voiceover,voiceover,Tutorial,0,9.12,33553,1466,296,163,56,0.059041,Medium,2,12.77%,2.25,hiddengems,destination,visa,5
How to: Hotel booking trick,04/11/2025,15:30,Tuesday,Travel Hacks,voiceover,voiceover,Tutorial,1,49.05,46321,2157,374,269,28,0.061052,High,4,9.81%,5.22,packinghacks,traveltips,workvisa,4
Step-by-step visa process explained?,24/01/2026,22:41,Saturday,Visa Application Tips,voiceover,voiceover,Question,0,32.61,45958,1993,440,302,498,0.070347,High,5,19.67%,7.19,immigration,visatips,travel,4
My experience: 3 documents you must not forget,08/12/2025,09:48,Monday,Visa Application Tips,voiceover,voiceover,Story,0,37.46,77722,3705,749,608,50,0.065773,High,6,19.28%,5.86,visa,visaguide,travel,4
How to: Packing hack that saves space,30/01/2026,09:30,Friday,Travel Hacks,text_overlay,text_overlay,Tutorial,0,37.92,189404,9023,1925,1405,1175,0.071424,High,20,30.86%,12.3,budgettravel,traveltips,creatorsearchinsight,4
Hidden gems you should not miss?,29/01/2026,16:24,Thursday,Destination Guides,screen_recording,screen_recording,Question,0,13.82,87315,3036,544,390,69,0.046258,Medium,3,21.42%,3.22,visit,hiddengems,visit,3
How to: Perfect itinerary for first-timers,30/01/2026,11:58,Friday,Destination Guides,voiceover,voiceover,Tutorial,0,25.8,127157,4702,1352,1162,560,0.061153,High,7,15.56%,4.11,travelguide,visit,workvisa,4
Food spots you must try?,28/01/2026,22:41,Wednesday,Destination Guides,voiceover,voiceover,Question,0,34.35,168837,6745,2110,1278,365,0.062178,High,10,30.59%,9.49,hiddengems,destination,workvisa,4
My experience: Travel hack for long layovers,09/01/2026,16:41,Friday,Travel Hacks,voiceover,voiceover,Story,0,35.66,116158,4554,1199,645,481,0.059221,Medium,11,20.72%,6.08,cheapflights,traveltips,visa,5
My experience: Low-cost itinerary tips,02/01/2026,14:58,Friday,Budget Travel,voiceover,voiceover,Story,0,13.75,39563,1224,260,127,286,0.047949,Medium,1,18.58%,3.78,budgettravel,traveltips,workvisa,5
How to: Budget breakdown for a 7-day trip,29/11/2025,19:37,Saturday,Budget Travel,voiceover,voiceover,Tutorial,0,27.47,72959,3124,770,494,44,0.060746,High,4,18.42%,6.52,cheaptravel,travelonabudget,cheaptravel,4
How to: Packing hack that saves space,03/01/2026,14:18,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,0,45.91,38381,1710,524,309,26,0.066934,High,3,12.42%,4.57,cheapflights,budgettravel,relocation,5
My experience: Food spots you must try,14/01/2026,09:41,Wednesday,Destination Guides,text_overlay,text_overlay,Story,1,15.72,63788,2661,473,317,163,0.056656,Medium,3,13.85%,2.77,destination,visit,creatorsearchinsight,5
How to: How much it costs to travel here,03/12/2025,10:00,Wednesday,Budget Travel,screen_recording,screen_recording,Tutorial,1,53.95,45041,2043,347,327,139,0.063409,High,2,12.28%,7.51,travelsavings,cheaptravel,studyabroad,4
Cost breakdown you need - Travel hack for long layovers,28/01/2026,10:10,Wednesday,Travel Hacks,voiceover,voiceover,Statistic,1,32.25,135428,5520,1108,1144,70,0.057905,Medium,11,29.30%,9.16,travelhacks,budgettravel,creatorsearchinsight,5
How to: Packing hack that saves space,11/11/2025,18:58,Tuesday,Travel Hacks,screen_recording,screen_recording,Tutorial,0,87.86,32320,1376,349,296,34,0.063583,High,2,5.45%,3.85,packinghacks,travelhacks,workvisa,5
How to: Visa interview questions to prepare for,29/12/2025,13:58,Monday,Visa Application Tips,voiceover,voiceover,Tutorial,1,40.17,107196,6273,703,850,79,0.073743,High,12,14.26%,5.61,visatips,visaguide,workvisa,3
Approval rate tips - Travel hack for long layovers,02/12/2025,22:24,Tuesday,Travel Hacks,voiceover,voiceover,Statistic,0,35.97,194918,7737,2322,1962,114,0.062257,High,20,18.35%,7.84,travelhacks,traveltips,workvisa,3
Important update - Save money on baggage fees,14/01/2026,07:13,Wednesday,Travel Hacks,screen_recording,screen_recording,Dramatic,0,22.99,108107,3955,617,343,584,0.050866,Medium,6,17.69%,5.0,traveltips,travelhacks,traveltips,3
My experience: How much it costs to travel here,29/12/2025,17:37,Monday,Budget Travel,text_overlay,text_overlay,Story,1,61.68,23656,787,155,126,11,0.045612,Medium,2,26.87%,16.59,travelsavings,travelonabudget,creatorsearchinsight,3
How to: Common visa rejection reasons,01/01/2026,11:48,Thursday,Visa Application Tips,voiceover,voiceover,Tutorial,0,32.45,97565,4995,940,485,474,0.070661,High,10,11.12%,4.27,immigration,visaguide,creatorsearchinsight,5
How to: Perfect itinerary for first-timers,17/12/2025,16:18,Wednesday,Destination Guides,voiceover,voiceover,Tutorial,1,8.61,42260,1792,295,197,23,0.054591,Medium,1,19.52%,2.45,destination,hiddengems,workvisa,3
My experience: Step-by-step visa process explained,23/01/2026,07:58,Friday,Visa Application Tips,voiceover,voiceover,Story,0,27.43,66576,3287,540,361,179,0.065594,High,2,5.96%,1.33,visatips,visaguide,creatorsearchinsight,4
How to: Top places to visit in 48 hours,25/01/2026,16:53,Sunday,Destination Guides,voiceover,voiceover,Tutorial,0,26.51,398475,17418,3419,2490,3547,0.067442,High,31,16.51%,2.99,thingstodo,visit,travel,5
My experience: How to find cheaper flights,09/12/2025,13:58,Tuesday,Travel Hacks,voiceover,voiceover,Story,0,54.3,30208,1091,94,52,222,0.048298,Medium,3,20.41%,11.22,traveltips,travelhacks,relocation,4
Stop scrolling - Visa interview questions to prepare for,06/11/2025,10:58,Thursday,Visa Application Tips,voiceover,voiceover,Dramatic,0,10.15,6420,175,14,36,41,0.041433,Medium,0,11.25%,1.62,travelvisa,visatips,travel,3
Cost breakdown you need - Low-cost itinerary tips,06/11/2025,13:30,Thursday,Budget Travel,voiceover,voiceover,Statistic,0,37.6,328008,15577,2525,1492,572,0.06148,High,9,20.03%,8.84,traveltips,cheaptravel,travel,5
My experience: Hotel booking trick,14/11/2025,21:58,Friday,Travel Hacks,text_overlay,text_overlay,Story,0,43.03,83032,3442,615,937,401,0.064975,High,5,8.13%,2.88,travelhacks,cheapflights,creatorsearchinsight,4
How to: Step-by-step visa process explained,17/11/2025,19:00,Monday,Visa Application Tips,voiceover,voiceover,Tutorial,0,22.76,120113,6387,1262,1212,480,0.077768,High,11,26.94%,6.46,immigration,visaguide,travel,5
How to travel with $50/day?,30/01/2026,07:24,Friday,Budget Travel,voiceover,voiceover,Question,0,41.07,138975,6240,1087,646,551,0.061335,High,8,31.00%,13.3,traveltips,budgettravel,traveltips,5
My experience: Save money on baggage fees,05/12/2025,17:53,Friday,Travel Hacks,text_overlay,text_overlay,Story,0,32.28,70278,3320,584,357,210,0.063619,High,5,8.53%,4.12,packinghacks,budgettravel,studyabroad,4
Don’t do this - Step-by-step visa process explained,25/01/2026,09:37,Sunday,Visa Application Tips,voiceover,voiceover,Dramatic,0,21.3,77214,2629,242,204,489,0.046157,Medium,1,19.02%,3.54,visa,travelvisa,travel,3
Approval rate tips - Travel hack for long layovers,13/11/2025,15:48,Thursday,Travel Hacks,screen_recording,screen_recording,Statistic,0,59.47,154644,6243,1583,386,828,0.058457,Medium,11,15.72%,9.86,budgettravel,cheapflights,workvisa,4
My experience: Common visa rejection reasons,20/11/2025,07:48,Thursday,Visa Application Tips,voiceover,voiceover,Story,1,70.1,234613,8457,1341,1393,590,0.050215,Medium,21,40.33%,27.63,immigration,visaguide,studyabroad,3
How much it costs to travel here?,31/12/2025,08:24,Wednesday,Budget Travel,text_overlay,text_overlay,Question,0,40.68,86640,3332,965,684,44,0.057999,Medium,7,26.58%,9.67,cheaptravel,budgettravel,visa,3
Stop scrolling - Perfect itinerary for first-timers,12/01/2026,14:18,Monday,Destination Guides,voiceover,voiceover,Dramatic,0,48.03,49929,1333,233,136,17,0.034429,Low,2,25.25%,11.11,visit,destination,creatorsearchinsight,5
How to: Low-cost itinerary tips,27/12/2025,07:13,Saturday,Budget Travel,voiceover,voiceover,Tutorial,0,25.78,58050,2508,389,326,277,0.060293,High,3,8.92%,1.0,travelsavings,budgettravel,visa,4
Save money on baggage fees?,25/12/2025,10:13,Thursday,Travel Hacks,screen_recording,screen_recording,Question,1,23.65,38922,1617,419,199,22,0.057988,Medium,1,15.66%,2.23,budgettravel,packinghacks,creatorsearchinsight,3
My experience: Visa interview questions to prepare for,14/11/2025,08:53,Friday,Visa Application Tips,voiceover,voiceover,Story,0,9.97,29475,1061,257,151,26,0.050721,Medium,2,5.03%,1.0,visa,visaguide,relocation,4
How to: Visa interview questions to prepare for,26/01/2026,12:30,Monday,Visa Application Tips,text_overlay,text_overlay,Tutorial,1,35.51,223897,12356,3050,874,540,0.075124,High,10,20.15%,7.28,immigration,visa,workvisa,4
Visa application checklist?,30/01/2026,17:24,Friday,Visa Application Tips,text_overlay,text_overlay,Question,0,18.32,244740,11104,2100,1289,1623,0.065849,High,22,20.34%,5.2,visatips,visa,studyabroad,4
Approval rate tips - Top places to visit in 48 hours,17/01/2026,18:18,Saturday,Destination Guides,voiceover,voiceover,Statistic,0,30.69,82756,3266,613,378,381,0.056044,Medium,8,25.56%,8.17,visit,travelguide,creatorsearchinsight,3
How to: Hidden gems you should not miss,21/01/2026,14:30,Wednesday,Destination Guides,voiceover,voiceover,Tutorial,1,7.81,65659,2217,529,383,431,0.05422,Medium,3,29.35%,1.07,travelguide,destination,visa,3
Cost breakdown you need - Food spots you must try,11/11/2025,09:24,Tuesday,Destination Guides,voiceover,voiceover,Statistic,1,74.09,45559,1124,323,171,300,0.042099,Medium,3,17.60%,12.52,destination,thingstodo,relocation,3
Visa application checklist?,08/12/2025,10:41,Monday,Visa Application Tips,voiceover,voiceover,Question,0,42.54,79495,3668,607,541,263,0.063891,High,7,20.40%,10.1,visa,visaguide,travel,5
How to: How much it costs to travel here,01/12/2025,13:37,Monday,Budget Travel,screen_recording,screen_recording,Tutorial,0,37.0,282388,13827,2391,2450,390,0.067489,High,24,29.50%,9.75,budgettravel,travelsavings,travel,3
Budget breakdown for a 7-day trip?,20/01/2026,10:37,Tuesday,Budget Travel,text_overlay,text_overlay,Question,0,43.99,144927,6230,1379,782,578,0.061886,High,15,10.66%,4.22,budgettravel,travelsavings,budgettravel,5
How to: Top places to visit in 48 hours,06/12/2025,20:24,Saturday,Destination Guides,voiceover,voiceover,Tutorial,0,37.35,111994,5715,1380,888,80,0.071995,High,5,16.88%,6.21,hiddengems,visit,travel,4
How to: How to travel with $50/day,08/01/2026,21:53,Thursday,Budget Travel,screen_recording,screen_recording,Tutorial,1,52.91,59002,2646,426,213,218,0.059371,Medium,4,32.93%,18.88,travelsavings,cheaptravel,travel,5
My experience: Save money on baggage fees,19/12/2025,19:13,Friday,Travel Hacks,voiceover,voiceover,Story,1,89.43,138998,5602,1276,576,140,0.054634,Medium,7,29.04%,24.91,packinghacks,travelhacks,studyabroad,4
What to do in one day?,17/12/2025,13:37,Wednesday,Destination Guides,voiceover,voiceover,Question,0,38.5,71513,2828,676,280,349,0.057794,Medium,5,26.70%,10.66,travelguide,visit,workvisa,4
Cost breakdown you need - Save money on baggage fees,31/01/2026,16:18,Saturday,Travel Hacks,voiceover,voiceover,Statistic,0,89.62,85796,3435,590,480,134,0.05407,Medium,7,11.94%,10.99,travelhacks,traveltips,travelhacks,3
How to: Step-by-step visa process explained,19/11/2025,20:48,Wednesday,Visa Application Tips,voiceover,voiceover,Tutorial,1,47.67,36290,1738,186,179,352,0.067649,High,2,25.88%,11.53,visa,immigration,creatorsearchinsight,5
How to: 3 documents you must not forget,14/11/2025,14:41,Friday,Visa Application Tips,voiceover,voiceover,Tutorial,0,18.14,208506,9890,1316,1619,2285,0.072468,High,8,11.14%,1.55,visa,immigration,studyabroad,4
3 documents you must not forget?,25/12/2025,18:30,Thursday,Visa Application Tips,text_overlay,text_overlay,Question,0,33.2,58195,2834,610,305,201,0.067875,High,2,34.18%,11.47,travelvisa,immigration,travelvisa,4
Step-by-step visa process explained?,22/11/2025,20:37,Saturday,Visa Application Tips,voiceover,voiceover,Question,1,52.96,12885,569,116,88,7,0.060536,High,1,28.27%,13.65,immigration,visaguide,visa,3
My experience: Visa interview questions to prepare for,24/11/2025,20:30,Monday,Visa Application Tips,voiceover,voiceover,Story,0,10.3,96490,3502,1082,422,50,0.052399,Medium,4,18.85%,2.67,visa,travelvisa,relocation,3
Common visa rejection reasons?,21/01/2026,15:10,Wednesday,Visa Application Tips,text_overlay,text_overlay,Question,1,42.98,142966,5876,1304,1214,1341,0.068093,High,9,27.05%,10.29,immigration,visaguide,immigration,3
How to: Affordable destinations for 2026,14/01/2026,08:18,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,1,38.39,127376,6192,1733,1007,557,0.074496,High,4,30.80%,12.37,budgettravel,cheaptravel,studyabroad,4
How to: How much it costs to travel here,21/11/2025,22:06,Friday,Budget Travel,screen_recording,screen_recording,Tutorial,0,19.81,149892,6497,1153,976,1335,0.066455,High,14,24.80%,5.55,traveltips,travelsavings,visa,5
Approval rate tips - How much it costs to travel here,23/12/2025,08:30,Tuesday,Budget Travel,voiceover,voiceover,Statistic,0,52.56,45185,1490,377,66,272,0.048799,Medium,3,11.33%,4.9,travelonabudget,cheaptravel,travelonabudget,3
How to: How to find cheaper flights,29/01/2026,07:24,Thursday,Travel Hacks,voiceover,voiceover,Tutorial,1,43.23,93874,4831,809,613,281,0.069604,High,3,26.97%,12.07,cheapflights,packinghacks,relocation,5
Low-cost itinerary tips?,08/11/2025,21:58,Saturday,Budget Travel,voiceover,voiceover,Question,1,58.02,27168,988,357,237,15,0.058782,Medium,1,27.39%,15.97,cheaptravel,budgettravel,visa,3
Perfect itinerary for first-timers?,10/11/2025,20:18,Monday,Destination Guides,voiceover,voiceover,Question,0,53.6,25459,820,266,115,12,0.047645,Medium,2,34.99%,18.21,destination,visit,visa,3
My experience: How to travel with $50/day,28/11/2025,18:41,Friday,Budget Travel,voiceover,voiceover,Story,0,34.38,87681,3487,798,581,45,0.05601,Medium,2,19.69%,5.28,traveltips,budgettravel,travel,5
How to: Visa interview questions to prepare for,11/11/2025,12:53,Tuesday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,33.24,118365,7252,1277,672,384,0.080978,High,8,19.77%,5.75,visaguide,visa,visaguide,4
How to: Common visa rejection reasons,23/01/2026,17:58,Friday,Visa Application Tips,screen_recording,screen_recording,Tutorial,0,11.1,28450,1555,198,137,18,0.067065,High,2,15.11%,1.26,visa,visaguide,creatorsearchinsight,5
Packing hack that saves space?,10/01/2026,22:53,Saturday,Travel Hacks,voiceover,voiceover,Question,1,32.55,78537,3852,660,355,121,0.063511,High,5,19.54%,6.43,packinghacks,travelhacks,travel,5
Common visa rejection reasons?,10/01/2026,15:10,Saturday,Visa Application Tips,voiceover,voiceover,Question,0,31.3,40732,2062,375,209,24,0.06555,High,2,32.49%,10.91,visa,travelvisa,creatorsearchinsight,5
Visa application checklist?,05/12/2025,11:10,Friday,Visa Application Tips,screen_recording,screen_recording,Question,0,10.24,39983,1759,396,257,139,0.063802,High,2,18.78%,1.0,visaguide,travelvisa,studyabroad,5
Approval rate tips - Visa interview questions to prepare for,28/11/2025,17:06,Friday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,42.12,98212,3861,715,613,723,0.060196,High,6,12.82%,5.78,visaguide,visatips,workvisa,4
My experience: Hidden gems you should not miss,23/11/2025,20:10,Sunday,Destination Guides,text_overlay,text_overlay,Story,0,28.16,99540,3538,607,274,316,0.047569,Medium,6,4.00%,1.0,destination,travelguide,creatorsearchinsight,5
Perfect itinerary for first-timers?,29/01/2026,15:24,Thursday,Destination Guides,voiceover,voiceover,Question,1,10.97,236631,7616,959,802,1106,0.044301,Medium,16,26.30%,1.78,destination,visit,visa,3
Cost breakdown you need - 3 documents you must not forget,01/01/2026,17:00,Thursday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,43.31,177718,8693,1551,1169,1132,0.070589,High,6,29.81%,11.54,travelvisa,immigration,travel,3
My experience: Affordable destinations for 2026,22/01/2026,16:18,Thursday,Budget Travel,text_overlay,text_overlay,Story,0,37.66,124714,4962,863,863,843,0.060386,High,12,28.08%,10.48,cheaptravel,budgettravel,relocation,3
My experience: Affordable destinations for 2026,04/01/2026,20:06,Sunday,Budget Travel,voiceover,voiceover,Story,1,27.77,250043,10065,1473,888,876,0.053199,Medium,21,14.56%,5.3,travelsavings,travelonabudget,relocation,3
Visa application checklist?,15/12/2025,11:24,Monday,Visa Application Tips,voiceover,voiceover,Question,0,89.93,44037,1707,425,312,256,0.061312,High,2,22.28%,21.17,visa,immigration,studyabroad,5
My experience: Food spots you must try,28/12/2025,15:48,Sunday,Destination Guides,voiceover,voiceover,Story,0,42.51,40178,1672,319,219,35,0.055876,Medium,4,10.16%,3.37,thingstodo,travelguide,creatorsearchinsight,5
How to: Perfect itinerary for first-timers,15/01/2026,09:58,Thursday,Destination Guides,text_overlay,text_overlay,Tutorial,0,55.37,71639,2782,743,458,649,0.064658,High,4,14.37%,8.65,visit,destination,visa,5
My experience: Visa interview questions to prepare for,10/12/2025,09:18,Wednesday,Visa Application Tips,voiceover,voiceover,Story,0,54.07,119143,4415,1079,551,1055,0.059592,Medium,7,15.32%,8.84,travelvisa,visa,creatorsearchinsight,5
How to find cheaper flights?,16/01/2026,12:13,Friday,Travel Hacks,voiceover,voiceover,Question,0,51.42,10996,468,140,70,7,0.062295,High,1,6.26%,2.12,cheapflights,budgettravel,visa,3
How to: Low-cost itinerary tips,21/12/2025,19:48,Sunday,Budget Travel,text_overlay,text_overlay,Tutorial,0,17.81,99055,4037,894,695,523,0.062077,High,4,7.79%,1.0,cheaptravel,travelonabudget,travel,3
How to: Save money on baggage fees,14/11/2025,22:06,Friday,Travel Hacks,screen_recording,screen_recording,Tutorial,0,36.05,70066,3508,809,287,369,0.070976,High,5,23.98%,7.66,packinghacks,budgettravel,relocation,3
How to: Travel hack for long layovers,17/12/2025,21:37,Wednesday,Travel Hacks,voiceover,voiceover,Tutorial,0,24.26,296918,14130,3850,1900,1846,0.073172,High,17,11.68%,3.17,budgettravel,travelhacks,creatorsearchinsight,4
Visa interview questions to prepare for?,19/12/2025,18:30,Friday,Visa Application Tips,voiceover,voiceover,Question,0,37.89,69764,3617,747,299,491,0.073878,High,3,16.85%,6.28,visatips,travelvisa,visatips,3
How to: Save money on baggage fees,10/01/2026,12:30,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,1,39.39,78319,4062,1027,886,84,0.077363,High,2,29.50%,12.24,travelhacks,traveltips,travelhacks,4
My experience: Common visa rejection reasons,08/12/2025,19:53,Monday,Visa Application Tips,text_overlay,text_overlay,Story,1,32.08,40626,1813,458,337,129,0.067371,High,4,19.14%,6.32,visaguide,visa,workvisa,5
My experience: Packing hack that saves space,01/11/2025,11:06,Saturday,Travel Hacks,text_overlay,text_overlay,Story,0,9.98,76589,3262,207,265,412,0.054133,Medium,8,32.57%,2.12,travelhacks,cheapflights,travelhacks,4
Approval rate tips - 3 documents you must not forget,08/01/2026,07:53,Thursday,Visa Application Tips,screen_recording,screen_recording,Statistic,1,40.8,169194,7048,1159,847,1677,0.063424,High,9,24.10%,8.53,travelvisa,visa,creatorsearchinsight,5
Visa application checklist?,27/11/2025,19:41,Thursday,Visa Application Tips,voiceover,voiceover,Question,0,23.62,24899,1043,202,154,147,0.062091,High,2,17.87%,3.5,visatips,travelvisa,relocation,3
Important update - Food spots you must try,11/11/2025,22:18,Tuesday,Destination Guides,voiceover,voiceover,Dramatic,1,35.27,298703,8608,1289,994,1422,0.041222,Medium,20,18.38%,5.71,travelguide,thingstodo,travel,3
